,Word,Times,Negative,Neutral,Positive,Compound,Classify,Value
0,trump,21863,0.0,1.0,0.0,0.0,Neutral,0.0
1,people,13354,0.0,1.0,0.0,0.0,Neutral,0.0
2,president,12600,0.0,1.0,0.0,0.0,Neutral,0.0
3,time,12577,0.0,1.0,0.0,0.0,Neutral,0.0
4,report,10599,0.0,1.0,0.0,0.0,Neutral,0.0
5,company,8811,0.0,1.0,0.0,0.0,Neutral,0.0
6,day,8195,0.0,1.0,0.0,0.0,Neutral,0.0
7,house,7901,0.0,1.0,0.0,0.0,Neutral,0.0
8,percent,7768,0.0,1.0,0.0,0.0,Neutral,0.0
9,call,7120,0.0,1.0,0.0,0.0,Neutral,0.0
10,week,6876,0.0,1.0,0.0,0.0,Neutral,0.0
11,news,6296,0.0,1.0,0.0,0.0,Neutral,0.0
12,country,6240,0.0,1.0,0.0,0.0,Neutral,0.0
13,hill,6068,0.0,1.0,0.0,0.0,Neutral,0.0
14,month,6007,0.0,1.0,0.0,0.0,Neutral,0.0
15,market,5595,0.0,1.0,0.0,0.0,Neutral,0.0
16,american,5451,0.0,1.0,0.0,0.0,Neutral,0.0
17,government,5364,0.0,1.0,0.0,0.0,Neutral,0.0
18,woman,5268,0.0,1.0,0.0,0.0,Neutral,0.0
19,plan,5080,0.0,1.0,0.0,0.0,Neutral,0.0
20,washington,5079,0.0,1.0,0.0,0.0,Neutral,0.0
21,share,4880,0.0,0.0,1.0,0.296,Positive,1.0
22,white,4855,0.0,1.0,0.0,0.0,Neutral,0.0
23,republican,4834,0.0,1.0,0.0,0.0,Neutral,0.0
24,campaign,4748,0.0,1.0,0.0,0.0,Neutral,0.0
25,official,4676,0.0,1.0,0.0,0.0,Neutral,0.0
26,democrat,4540,0.0,1.0,0.0,0.0,Neutral,0.0
27,family,4528,0.0,1.0,0.0,0.0,Neutral,0.0
28,write,4486,0.0,1.0,0.0,0.0,Neutral,0.0
29,york,4442,0.0,1.0,0.0,0.0,Neutral,0.0
30,support,4421,0.0,0.0,1.0,0.4019,Positive,1.0
31,lead,4245,0.0,1.0,0.0,0.0,Neutral,0.0
32,united,4205,0.0,0.0,1.0,0.4215,Positive,1.0
33,issue,4172,0.0,1.0,0.0,0.0,Neutral,0.0
34,party,4124,0.0,0.0,1.0,0.4019,Positive,1.0
35,business,4115,0.0,1.0,0.0,0.0,Neutral,0.0
36,national,4085,0.0,1.0,0.0,0.0,Neutral,0.0
37,vote,4072,0.0,1.0,0.0,0.0,Neutral,0.0
38,senate,4039,0.0,1.0,0.0,0.0,Neutral,0.0
39,law,4037,0.0,1.0,0.0,0.0,Neutral,0.0
40,move,4037,0.0,1.0,0.0,0.0,Neutral,0.0
41,start,4020,0.0,1.0,0.0,0.0,Neutral,0.0
42,life,4007,0.0,1.0,0.0,0.0,Neutral,0.0
43,view,3988,0.0,1.0,0.0,0.0,Neutral,0.0
44,public,3960,0.0,1.0,0.0,0.0,Neutral,0.0
45,deal,3932,0.0,1.0,0.0,0.0,Neutral,0.0
46,city,3910,0.0,1.0,0.0,0.0,Neutral,0.0
47,statement,3907,0.0,1.0,0.0,0.0,Neutral,0.0
48,billion,3893,0.0,1.0,0.0,0.0,Neutral,0.0
49,tuesday,3874,0.0,1.0,0.0,0.0,Neutral,0.0
50,street,3869,0.0,1.0,0.0,0.0,Neutral,0.0
51,china,3860,0.0,1.0,0.0,0.0,Neutral,0.0
52,trade,3817,0.0,1.0,0.0,0.0,Neutral,0.0
53,leave,3804,1.0,0.0,0.0,-0.0516,Negative,-1.0
54,continue,3795,0.0,1.0,0.0,0.0,Neutral,0.0
55,election,3774,0.0,1.0,0.0,0.0,Neutral,0.0
56,policy,3729,0.0,1.0,0.0,0.0,Neutral,0.0
57,child,3711,0.0,1.0,0.0,0.0,Neutral,0.0
58,democratic,3640,0.0,1.0,0.0,0.0,Neutral,0.0
59,court,3634,0.0,1.0,0.0,0.0,Neutral,0.0
60,monday,3602,0.0,1.0,0.0,0.0,Neutral,0.0
61,change,3576,0.0,1.0,0.0,0.0,Neutral,0.0
62,bill,3556,0.0,1.0,0.0,0.0,Neutral,0.0
63,political,3553,0.0,1.0,0.0,0.0,Neutral,0.0
64,price,3474,0.0,1.0,0.0,0.0,Neutral,0.0
65,administration,3464,0.0,1.0,0.0,0.0,Neutral,0.0
66,health,3463,0.0,1.0,0.0,0.0,Neutral,0.0
67,thursday,3453,0.0,1.0,0.0,0.0,Neutral,0.0
68,hold,3435,0.0,1.0,0.0,0.0,Neutral,0.0
69,bank,3408,0.0,1.0,0.0,0.0,Neutral,0.0
70,talk,3380,0.0,1.0,0.0,0.0,Neutral,0.0
71,security,3357,0.0,0.0,1.0,0.34,Positive,1.0
72,wednesday,3335,0.0,1.0,0.0,0.0,Neutral,0.0
73,tax,3331,0.0,1.0,0.0,0.0,Neutral,0.0
74,expect,3312,0.0,1.0,0.0,0.0,Neutral,0.0
75,service,3259,0.0,1.0,0.0,0.0,Neutral,0.0
76,office,3225,0.0,1.0,0.0,0.0,Neutral,0.0
77,federal,3204,0.0,1.0,0.0,0.0,Neutral,0.0
78,school,3189,0.0,1.0,0.0,0.0,Neutral,0.0
79,question,3179,0.0,1.0,0.0,0.0,Neutral,0.0
80,police,3171,0.0,1.0,0.0,0.0,Neutral,0.0
81,release,3163,0.0,1.0,0.0,0.0,Neutral,0.0
82,friday,3132,0.0,1.0,0.0,0.0,Neutral,0.0
83,top,3102,0.0,0.0,1.0,0.2023,Positive,1.0
84,leader,3101,0.0,1.0,0.0,0.0,Neutral,0.0
85,team,3056,0.0,1.0,0.0,0.0,Neutral,0.0
86,rate,3045,0.0,1.0,0.0,0.0,Neutral,0.0
87,job,3042,0.0,1.0,0.0,0.0,Neutral,0.0
88,set,3035,0.0,1.0,0.0,0.0,Neutral,0.0
89,love,3013,0.0,0.0,1.0,0.6369,Positive,1.0
90,rise,2986,0.0,1.0,0.0,0.0,Neutral,0.0
91,force,2958,0.0,1.0,0.0,0.0,Neutral,0.0
92,site,2953,0.0,1.0,0.0,0.0,Neutral,0.0
93,department,2951,0.0,1.0,0.0,0.0,Neutral,0.0
94,publish,2951,0.0,1.0,0.0,0.0,Neutral,0.0
95,ms,2951,0.0,1.0,0.0,0.0,Neutral,0.0
96,live,2927,0.0,1.0,0.0,0.0,Neutral,0.0
97,comment,2864,0.0,1.0,0.0,0.0,Neutral,0.0
98,pay,2863,1.0,0.0,0.0,-0.1027,Negative,-1.0
99,close,2857,0.0,1.0,0.0,0.0,Neutral,0.0
100,meet,2852,0.0,1.0,0.0,0.0,Neutral,0.0
101,play,2842,0.0,0.0,1.0,0.34,Positive,1.0
102,post,2838,0.0,1.0,0.0,0.0,Neutral,0.0
103,data,2790,0.0,1.0,0.0,0.0,Neutral,0.0
104,increase,2786,0.0,0.0,1.0,0.3182,Positive,1.0
105,medium,2758,0.0,1.0,0.0,0.0,Neutral,0.0
106,low,2751,1.0,0.0,0.0,-0.2732,Negative,-1.0
107,stock,2746,0.0,1.0,0.0,0.0,Neutral,0.0
108,story,2742,0.0,1.0,0.0,0.0,Neutral,0.0
109,lot,2734,0.0,1.0,0.0,0.0,Neutral,0.0
110,attack,2689,1.0,0.0,0.0,-0.4767,Negative,-1.0
111,john,2644,0.0,1.0,0.0,0.0,Neutral,0.0
112,communication,2627,0.0,1.0,0.0,0.0,Neutral,0.0
113,money,2606,0.0,1.0,0.0,0.0,Neutral,0.0
114,decision,2605,0.0,1.0,0.0,0.0,Neutral,0.0
115,power,2602,0.0,1.0,0.0,0.0,Neutral,0.0
116,win,2602,0.0,0.0,1.0,0.5859,Positive,1.0
117,north,2599,0.0,1.0,0.0,0.0,Neutral,0.0
118,committee,2598,0.0,1.0,0.0,0.0,Neutral,0.0
119,night,2598,0.0,1.0,0.0,0.0,Neutral,0.0
120,chief,2581,0.0,1.0,0.0,0.0,Neutral,0.0
121,donald,2563,0.0,1.0,0.0,0.0,Neutral,0.0
122,rule,2550,0.0,1.0,0.0,0.0,Neutral,0.0
123,feel,2547,0.0,1.0,0.0,0.0,Neutral,0.0
124,source,2532,0.0,1.0,0.0,0.0,Neutral,0.0
125,cut,2525,1.0,0.0,0.0,-0.2732,Negative,-1.0
126,remain,2522,0.0,1.0,0.0,0.0,Neutral,0.0
127,discussion,2509,0.0,1.0,0.0,0.0,Neutral,0.0
128,content,2505,0.0,1.0,0.0,0.0,Neutral,0.0
129,system,2487,0.0,1.0,0.0,0.0,Neutral,0.0
130,corp,2477,0.0,1.0,0.0,0.0,Neutral,0.0
131,war,2474,1.0,0.0,0.0,-0.5994,Negative,-1.0
132,economy,2441,0.0,1.0,0.0,0.0,Neutral,0.0
133,investigation,2434,0.0,1.0,0.0,0.0,Neutral,0.0
134,director,2431,0.0,1.0,0.0,0.0,Neutral,0.0
135,congress,2426,0.0,1.0,0.0,0.0,Neutral,0.0
136,capitol,2416,0.0,1.0,0.0,0.0,Neutral,0.0
137,add,2406,0.0,1.0,0.0,0.0,Neutral,0.0
138,speak,2405,0.0,1.0,0.0,0.0,Neutral,0.0
139,global,2399,0.0,1.0,0.0,0.0,Neutral,0.0
140,center,2383,0.0,1.0,0.0,0.0,Neutral,0.0
141,program,2382,0.0,1.0,0.0,0.0,Neutral,0.0
142,interview,2378,0.0,1.0,0.0,0.0,Neutral,0.0
143,claim,2375,0.0,1.0,0.0,0.0,Neutral,0.0
144,fund,2357,0.0,1.0,0.0,0.0,Neutral,0.0
145,bring,2345,0.0,1.0,0.0,0.0,Neutral,0.0
146,candidate,2343,0.0,1.0,0.0,0.0,Neutral,0.0
147,presidential,2342,0.0,1.0,0.0,0.0,Neutral,0.0
148,star,2339,0.0,1.0,0.0,0.0,Neutral,0.0
149,poll,2336,0.0,1.0,0.0,0.0,Neutral,0.0
150,offer,2334,0.0,1.0,0.0,0.0,Neutral,0.0
151,care,2330,0.0,0.0,1.0,0.4939,Positive,1.0
152,record,2319,0.0,1.0,0.0,0.0,Neutral,0.0
153,game,2317,0.0,1.0,0.0,0.0,Neutral,0.0
154,raise,2307,0.0,1.0,0.0,0.0,Neutral,0.0
155,financial,2306,0.0,1.0,0.0,0.0,Neutral,0.0
156,sign,2306,0.0,1.0,0.0,0.0,Neutral,0.0
157,happen,2288,0.0,1.0,0.0,0.0,Neutral,0.0
158,voter,2286,0.0,1.0,0.0,0.0,Neutral,0.0
159,charge,2281,0.0,1.0,0.0,0.0,Neutral,0.0
160,clinton,2274,0.0,1.0,0.0,0.0,Neutral,0.0
161,lose,2266,1.0,0.0,0.0,-0.4019,Negative,-1.0
162,hit,2259,0.0,1.0,0.0,0.0,Neutral,0.0
163,head,2247,0.0,1.0,0.0,0.0,Neutral,0.0
164,economic,2246,0.0,1.0,0.0,0.0,Neutral,0.0
165,return,2245,0.0,1.0,0.0,0.0,Neutral,0.0
166,effort,2228,0.0,1.0,0.0,0.0,Neutral,0.0
167,create,2196,0.0,0.0,1.0,0.2732,Positive,1.0
168,base,2194,0.0,1.0,0.0,0.0,Neutral,0.0
169,america,2187,0.0,1.0,0.0,0.0,Neutral,0.0
170,student,2161,0.0,1.0,0.0,0.0,Neutral,0.0
171,executive,2154,0.0,1.0,0.0,0.0,Neutral,0.0
172,grow,2152,0.0,1.0,0.0,0.0,Neutral,0.0
173,march,2142,0.0,1.0,0.0,0.0,Neutral,0.0
174,future,2137,0.0,1.0,0.0,0.0,Neutral,0.0
175,death,2130,1.0,0.0,0.0,-0.5994,Negative,-1.0
176,sale,2122,0.0,1.0,0.0,0.0,Neutral,0.0
177,morning,2121,0.0,1.0,0.0,0.0,Neutral,0.0
178,friend,2120,0.0,0.0,1.0,0.4939,Positive,1.0
179,control,2118,0.0,1.0,0.0,0.0,Neutral,0.0
180,obama,2118,0.0,1.0,0.0,0.0,Neutral,0.0
181,south,2104,0.0,1.0,0.0,0.0,Neutral,0.0
182,foreign,2096,0.0,1.0,0.0,0.0,Neutral,0.0
183,suite,2095,0.0,1.0,0.0,0.0,Neutral,0.0
184,university,2092,0.0,1.0,0.0,0.0,Neutral,0.0
185,subsidiary,2087,0.0,1.0,0.0,0.0,Neutral,0.0
186,international,2079,0.0,1.0,0.0,0.0,Neutral,0.0
187,action,2072,0.0,1.0,0.0,0.0,Neutral,0.0
188,nation,2067,0.0,1.0,0.0,0.0,Neutral,0.0
189,major,2062,0.0,1.0,0.0,0.0,Neutral,0.0
190,social,2058,0.0,1.0,0.0,0.0,Neutral,0.0
191,military,2058,0.0,1.0,0.0,0.0,Neutral,0.0
192,real,2044,0.0,1.0,0.0,0.0,Neutral,0.0
193,tel,2037,0.0,1.0,0.0,0.0,Neutral,0.0
194,level,2033,0.0,1.0,0.0,0.0,Neutral,0.0
195,concern,2031,0.0,1.0,0.0,0.0,Neutral,0.0
196,risk,2025,1.0,0.0,0.0,-0.2732,Negative,-1.0
197,provide,2022,0.0,1.0,0.0,0.0,Neutral,0.0
198,investor,2018,0.0,1.0,0.0,0.0,Neutral,0.0
199,justice,2016,0.0,0.0,1.0,0.5267,Positive,1.0
200,oil,2006,0.0,1.0,0.0,0.0,Neutral,0.0
201,fax,2004,0.0,1.0,0.0,0.0,Neutral,0.0
202,receive,1999,0.0,1.0,0.0,0.0,Neutral,0.0
203,kill,1993,1.0,0.0,0.0,-0.6908,Negative,-1.0
204,ago,1985,0.0,1.0,0.0,0.0,Neutral,0.0
205,thread,1983,0.0,1.0,0.0,0.0,Neutral,0.0
206,buy,1962,0.0,1.0,0.0,0.0,Neutral,0.0
207,tweet,1954,0.0,1.0,0.0,0.0,Neutral,0.0
208,book,1951,0.0,1.0,0.0,0.0,Neutral,0.0
209,fight,1944,1.0,0.0,0.0,-0.3818,Negative,-1.0
210,officer,1942,0.0,1.0,0.0,0.0,Neutral,0.0
211,black,1937,0.0,1.0,0.0,0.0,Neutral,0.0
212,cost,1937,0.0,1.0,0.0,0.0,Neutral,0.0
213,firm,1931,0.0,1.0,0.0,0.0,Neutral,0.0
214,press,1922,0.0,1.0,0.0,0.0,Neutral,0.0
215,community,1921,0.0,1.0,0.0,0.0,Neutral,0.0
216,fall,1916,0.0,1.0,0.0,0.0,Neutral,0.0
217,event,1916,0.0,1.0,0.0,0.0,Neutral,0.0
218,video,1912,0.0,1.0,0.0,0.0,Neutral,0.0
219,focus,1910,0.0,1.0,0.0,0.0,Neutral,0.0
220,growth,1901,0.0,0.0,1.0,0.3818,Positive,1.0
221,process,1899,0.0,1.0,0.0,0.0,Neutral,0.0
222,senator,1897,0.0,1.0,0.0,0.0,Neutral,0.0
223,agency,1894,0.0,1.0,0.0,0.0,Neutral,0.0
224,strong,1890,0.0,0.0,1.0,0.5106,Positive,1.0
225,step,1884,0.0,1.0,0.0,0.0,Neutral,0.0
226,race,1884,0.0,1.0,0.0,0.0,Neutral,0.0
227,industry,1880,0.0,1.0,0.0,0.0,Neutral,0.0
228,edit,1873,0.0,1.0,0.0,0.0,Neutral,0.0
229,hour,1867,0.0,1.0,0.0,0.0,Neutral,0.0
230,season,1867,0.0,1.0,0.0,0.0,Neutral,0.0
231,push,1866,0.0,1.0,0.0,0.0,Neutral,0.0
232,sunday,1854,0.0,1.0,0.0,0.0,Neutral,0.0
233,seek,1838,0.0,1.0,0.0,0.0,Neutral,0.0
234,russia,1837,0.0,1.0,0.0,0.0,Neutral,0.0
235,gop,1835,0.0,1.0,0.0,0.0,Neutral,0.0
236,bad,1833,1.0,0.0,0.0,-0.5423,Negative,-1.0
237,lawmaker,1831,0.0,1.0,0.0,0.0,Neutral,0.0
238,sander,1826,0.0,1.0,0.0,0.0,Neutral,0.0
239,sell,1816,0.0,1.0,0.0,0.0,Neutral,0.0
240,serve,1815,0.0,1.0,0.0,0.0,Neutral,0.0
241,reach,1812,0.0,0.0,1.0,0.0258,Positive,1.0
242,chinese,1811,0.0,1.0,0.0,0.0,Neutral,0.0
243,twitter,1802,0.0,1.0,0.0,0.0,Neutral,0.0
244,fire,1801,1.0,0.0,0.0,-0.34,Negative,-1.0
245,watch,1800,0.0,1.0,0.0,0.0,Neutral,0.0
246,hard,1793,1.0,0.0,0.0,-0.1027,Negative,-1.0
247,energy,1787,0.0,0.0,1.0,0.2732,Positive,1.0
248,read,1786,0.0,1.0,0.0,0.0,Neutral,0.0
249,list,1781,0.0,1.0,0.0,0.0,Neutral,0.0
250,biden,1780,0.0,1.0,0.0,0.0,Neutral,0.0
251,hand,1769,0.0,0.0,1.0,0.4939,Positive,1.0
252,study,1763,0.0,1.0,0.0,0.0,Neutral,0.0
253,food,1754,0.0,1.0,0.0,0.0,Neutral,0.0
254,person,1753,0.0,1.0,0.0,0.0,Neutral,0.0
255,stand,1744,0.0,1.0,0.0,0.0,Neutral,0.0
256,meeting,1743,0.0,1.0,0.0,0.0,Neutral,0.0
257,attorney,1737,0.0,1.0,0.0,0.0,Neutral,0.0
258,earlier,1722,0.0,1.0,0.0,0.0,Neutral,0.0
259,yearold,1716,0.0,1.0,0.0,0.0,Neutral,0.0
260,build,1706,0.0,1.0,0.0,0.0,Neutral,0.0
261,product,1704,0.0,1.0,0.0,0.0,Neutral,0.0
262,challenge,1703,0.0,0.0,1.0,0.0772,Positive,1.0
263,term,1696,0.0,1.0,0.0,0.0,Neutral,0.0
264,break,1690,0.0,1.0,0.0,0.0,Neutral,0.0
265,test,1690,0.0,1.0,0.0,0.0,Neutral,0.0
266,experience,1689,0.0,1.0,0.0,0.0,Neutral,0.0
267,facebook,1684,0.0,1.0,0.0,0.0,Neutral,0.0
268,local,1681,0.0,1.0,0.0,0.0,Neutral,0.0
269,border,1680,0.0,1.0,0.0,0.0,Neutral,0.0
270,air,1680,0.0,1.0,0.0,0.0,Neutral,0.0
271,european,1661,0.0,1.0,0.0,0.0,Neutral,0.0
272,late,1658,0.0,1.0,0.0,0.0,Neutral,0.0
273,matter,1649,0.0,0.0,1.0,0.0258,Positive,1.0
274,investment,1646,0.0,1.0,0.0,0.0,Neutral,0.0
275,role,1643,0.0,1.0,0.0,0.0,Neutral,0.0
276,dollar,1626,0.0,1.0,0.0,0.0,Neutral,0.0
277,mother,1621,0.0,1.0,0.0,0.0,Neutral,0.0
278,parent,1617,0.0,1.0,0.0,0.0,Neutral,0.0
279,debate,1611,0.0,1.0,0.0,0.0,Neutral,0.0
280,target,1610,0.0,1.0,0.0,0.0,Neutral,0.0
281,decline,1610,0.0,1.0,0.0,0.0,Neutral,0.0
282,judge,1607,0.0,1.0,0.0,0.0,Neutral,0.0
283,photo,1607,0.0,1.0,0.0,0.0,Neutral,0.0
284,history,1604,0.0,1.0,0.0,0.0,Neutral,0.0
285,film,1600,0.0,1.0,0.0,0.0,Neutral,0.0
286,june,1598,0.0,1.0,0.0,0.0,Neutral,0.0
287,analyst,1590,0.0,1.0,0.0,0.0,Neutral,0.0
288,minister,1589,0.0,1.0,0.0,0.0,Neutral,0.0
289,secretary,1589,0.0,1.0,0.0,0.0,Neutral,0.0
290,drug,1587,0.0,1.0,0.0,0.0,Neutral,0.0
291,wall,1576,0.0,1.0,0.0,0.0,Neutral,0.0
292,union,1571,0.0,1.0,0.0,0.0,Neutral,0.0
293,human,1565,0.0,1.0,0.0,0.0,Neutral,0.0
294,gun,1561,1.0,0.0,0.0,-0.34,Negative,-1.0
295,project,1548,0.0,1.0,0.0,0.0,Neutral,0.0
296,russian,1538,0.0,1.0,0.0,0.0,Neutral,0.0
297,technology,1536,0.0,1.0,0.0,0.0,Neutral,0.0
298,authority,1535,0.0,0.0,1.0,0.0772,Positive,1.0
299,korea,1534,0.0,1.0,0.0,0.0,Neutral,0.0
300,special,1529,0.0,0.0,1.0,0.4019,Positive,1.0
301,crime,1528,1.0,0.0,0.0,-0.5423,Negative,-1.0
302,defense,1517,0.0,0.0,1.0,0.128,Positive,1.0
303,address,1516,0.0,1.0,0.0,0.0,Neutral,0.0
304,central,1515,0.0,1.0,0.0,0.0,Neutral,0.0
305,spend,1513,0.0,1.0,0.0,0.0,Neutral,0.0
306,key,1512,0.0,1.0,0.0,0.0,Neutral,0.0
307,demand,1512,1.0,0.0,0.0,-0.128,Negative,-1.0
308,son,1511,0.0,1.0,0.0,0.0,Neutral,0.0
309,reason,1506,0.0,1.0,0.0,0.0,Neutral,0.0
310,daughter,1504,0.0,1.0,0.0,0.0,Neutral,0.0
311,water,1498,0.0,1.0,0.0,0.0,Neutral,0.0
312,decade,1495,0.0,1.0,0.0,0.0,Neutral,0.0
313,potential,1495,0.0,1.0,0.0,0.0,Neutral,0.0
314,conservative,1487,0.0,1.0,0.0,0.0,Neutral,0.0
315,car,1483,0.0,1.0,0.0,0.0,Neutral,0.0
316,series,1483,0.0,1.0,0.0,0.0,Neutral,0.0
317,visit,1478,0.0,1.0,0.0,0.0,Neutral,0.0
318,account,1472,0.0,1.0,0.0,0.0,Neutral,0.0
319,stay,1471,0.0,1.0,0.0,0.0,Neutral,0.0
320,travel,1468,0.0,1.0,0.0,0.0,Neutral,0.0
321,note,1467,0.0,1.0,0.0,0.0,Neutral,0.0
322,die,1465,1.0,0.0,0.0,-0.5994,Negative,-1.0
323,private,1464,0.0,1.0,0.0,0.0,Neutral,0.0
324,position,1462,0.0,1.0,0.0,0.0,Neutral,0.0
325,join,1456,0.0,0.0,1.0,0.296,Positive,1.0
326,reporter,1453,0.0,1.0,0.0,0.0,Neutral,0.0
327,de,1450,0.0,1.0,0.0,0.0,Neutral,0.0
328,board,1448,0.0,1.0,0.0,0.0,Neutral,0.0
329,pass,1446,0.0,1.0,0.0,0.0,Neutral,0.0
330,worker,1444,0.0,1.0,0.0,0.0,Neutral,0.0
331,idea,1444,0.0,1.0,0.0,0.0,Neutral,0.0
332,senior,1442,0.0,1.0,0.0,0.0,Neutral,0.0
